high_gfr,sex_name,N,urea,sod,alb,urate
eGFR <100,Female,28110,11.899679829242263,0.13518320882248308,1.3553895410885806,84.1942369263607
eGFR <100,Male,32826,12.30731737037714,0.1980137695728995,1.7181502467556207,79.64113812222016
eGFR >=100,Female,2747,25.664361121223152,0.03640334910811795,2.693847834000728,90.20749908991627
eGFR >=100,Male,2445,28.752556237218812,0.36809815950920244,2.494887525562372,87.07566462167689
