model,sex,term,ckd_cat,estimate,std.error,statistic,p.value,sex_name,or,lower,upper
mod4,1,ckd_cat,30 - <45,0.10206410389216587,0.06740541724709932,1.5141825102574826,0.12998,Male,1.11,0.97,1.26
mod4,1,ckd_cat,<30,0.2871094921934648,0.10055067150632074,2.855371206301857,0.0043,Male,1.33,1.09,1.62
mod4,2,ckd_cat,>120,-0.4365901265471315,0.3064713948448094,-1.4245705598991105,0.15428,Female,0.65,0.35,1.18
mod4,2,ckd_cat,105 - <120,0.1875633266193842,0.10577799610436874,1.7731790497743951,0.0762,Female,1.21,0.98,1.48
mod4,2,ckd_cat,90 - <105,0.020764446245571614,0.05132490885593662,0.4045685946341402,0.68579,Female,1.02,0.92,1.13
mod4,2,ckd_cat,60 - <75,0.07366970484625905,0.04761706229388306,1.5471283043793054,0.12183,Female,1.08,0.98,1.18
mod4,2,ckd_cat,45 - <60,0.1912469815676122,0.059361357024642666,3.2217420752059267,0.00127,Female,1.21,1.08,1.36
mod4,2,ckd_cat,30 - <45,0.0774527895457087,0.07630200658539409,1.0150819488479206,0.31007,Female,1.08,0.93,1.25
mod4,2,ckd_cat,<30,0.1585475431113226,0.12437744282700676,1.2747290787433387,0.20241,Female,1.17,0.92,1.5
mod1,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod1,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
mod2,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod2,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
mod3,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod3,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
mod4,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod4,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
