model,sex,term,ckd_cat,estimate,std.error,statistic,p.value,sex_name,or,lower,upper
mod5,2,ckd_cat,30 - <45,0.2585930590083121,0.033246833649225906,7.777975543073497,0,Female,1.3,1.21,1.38
mod5,2,ckd_cat,<30,0.5369502267903766,0.04833380975278472,11.109205534112498,0,Female,1.71,1.56,1.88
mod1,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod1,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
mod2,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod2,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
mod3,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod3,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
mod4,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod4,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
mod5,NA,ckd_cat,75 - <90,NA,NA,NA,1,Male,1,1,1
mod5,NA,ckd_cat,75 - <90,NA,NA,NA,1,Female,1,1,1
